@relation cleaned_global_dataflow

@attribute Year numeric
@attribute Under-five_mortality_rate numeric
@attribute Under-five_deaths numeric
@attribute BMI-for-age_<-3_SD numeric
@attribute BMI-for-age_>+3_SD numeric
@attribute Height-for-age_<-3_SD_(Severe_Stunting) numeric
@attribute Height-for-age_>+3_SD numeric
@attribute Weight-for-age_(>+3_SD) numeric
@attribute Weight-for-height_<-3_SD_(severe_wasting) numeric

@data
1995,24.2196564904722,1530,0.7,2.0,3.5,2.0,0.1,0.8
2010,3.19847262267069,3533,0.3,0.2,0.9,0.4676755628128537,0.4544424206348001,0.2
2019,15.5458060452484,3715,0.8,2.3,3.2,0.9,1.2,0.3
2012,19.0768936751344,3751,0.6,0.9,1.6,0.9,0.4,0.7
2009,20.753502265741,3997,0.2,1.8,1.8,0.9,0.5,0.2
2002,25.397596249106,3851,0.8,0.9,2.4,0.7,0.3,0.8
1997,29.1596942108671,4503,0.8,1.1,2.6,0.8,0.4,0.6
2015,11.8530032464553,4711,1.2,3.4,2.4,4.9,2.8,1.1
2010,20.4082976310929,7407,1.7,5.0,5.4,2.7,1.1,1.7
2006,28.9351451608093,8622,2.2,6.4,6.8,2.1,1.0,2.3
1999,45.0260750046581,11357,1.1,0.8,3.8,0.9,0.1,1.0
1995,52.62920455565,16962,1.4,1.5,5.7,1.5,0.8,1.8
2016,46.2512006322208,66841,2.2,1.9,11.6,2.9,0.8,2.3
2014,48.9193043340896,70299,1.0,1.0,8.3,0.8,0.3,1.0
2008,58.4891951904315,83234,2.1,1.8,14.6,1.6,0.4,2.1
2005,70.9700409060781,94171,2.1,3.9,19.1,2.0,0.6,2.4
2003,81.055493056123,102857,2.3,1.7,14.9,1.3,0.4,2.4
2000,96.0673955591536,113018,2.4,3.6,19.1,1.5,0.4,2.9
1998,103.81568958751,116302,3.6,3.3,17.8,2.7,1.1,3.0
2018,60.0998746697116,207,1.4,0.6,4.1,1.0,0.2,1.3
2020,8.78865848554318,480,0.8,3.4,2.0,1.4,1.8,0.8
2019,8.81443101555994,501,0.8,2.7,2.2,0.9,1.3,0.8
2018,8.82675533352262,517,0.9,3.6,2.8,0.9,1.1,0.9
2017,8.86344717711102,535,0.7,1.9,1.9,0.9,1.1,0.7
2016,8.95219579974054,562,0.6,2.5,2.1,0.8,1.2,0.5
2015,9.09791378674958,604,0.8,2.1,1.6,1.3,1.6,0.7
2014,9.31168126479474,632,0.7,2.4,2.0,1.2113375498457506,0.9546264534574398,0.6
2013,9.59277955414914,635,0.8,2.2,1.4,1.179468452099989,0.8992685245459242,0.7
2012,9.94856305684661,637,0.7,2.5,1.1,1.2376256350721122,0.9648148024158942,0.6
2011,10.3371832839568,638,0.4,2.3,1.3,1.0904997705101604,0.9200336534691473,0.4
2010,10.7021182035285,635,0.7,2.2,1.3,1.1452752969620472,0.8820783020258336,0.6
2009,11.0060987594806,626,0.4,2.3,1.3,1.087121803783444,0.9069823210360486,0.3
2008,11.2444008553691,611,0.6,2.4,1.8,1.172775633053889,0.9184429947054102,0.5
2007,11.4308009980233,592,0.8,2.5,2.1,1.258631746252766,0.930072168963294,0.8
2006,11.589461416696,571,0.7,2.4,1.3,1.1993710062157703,0.9037119022280002,0.6
2005,11.7564652202132,559,1.0,1.2,1.3,0.9298974556993058,0.6118947468031752,1.0
2004,11.9517199851628,553,1.0,1.8,1.3,1.1060305985683874,0.7446408206015924,1.1
2003,12.1484588311538,543,0.7,1.1,1.1,0.8119156984815381,0.5847987529780312,0.7
2002,12.3224739509256,533,0.6,0.7,1.0,0.6639506852533057,0.4889779116516486,0.5
2001,12.4992853269182,525,0.4,2.7,1.3,1.1963954861233477,0.9511607926540542,0.4
2018,18.9970560519923,3170,0.7,1.8,3.3,1.0,0.3,0.7
2014,23.458682302273,3869,0.8,1.5,3.4,0.6,0.4,0.8
2012,26.0620237463601,4140,1.2,3.0,6.0,1.5,0.4,1.3
2006,37.6595752958182,4514,0.8,2.9,5.9,2.0,0.2,1.0
1997,57.3472557166141,6719,1.1,3.5,10.1,0.8,0.9,0.8
2017,48.696118847419,8048,3.0,1.6,12.7,1.4,0.4,3.0
2015,53.1427242700574,8784,2.2,1.0,13.6,0.9,0.2,2.4
2011,64.3807047913985,10949,1.3,0.8,18.8,0.7,0.2,1.4
2006,82.3235362055845,14087,1.3,0.4,20.8,0.8,0.1,1.7
2000,106.684618544689,19330,6.6,1.1,24.1,1.8,0.3,7.5
2021,3.46162640199454,61,0.0,1.6,0.0,1.0,1.0,0.0
2021,16.3984176984837,1439,0.3,1.5,1.5,1.2,1.1,0.3
2018,77.2126095198441,4603,0.6,1.4,11.4,0.4,0.1,0.8
2014,83.0062853188384,4943,0.8,2.2,11.4,0.2,0.3,0.6
2009,100.108414372501,5776,1.7,2.9,15.2,1.2,0.6,1.5
2004,116.062407956823,6767,2.1,3.4,19.6,1.2,0.6,2.2
2019,80.0279334638357,12706,0.5,0.8,10.1,0.5,0.4,0.5
2016,86.0239781339445,13540,1.3,0.5,8.9,0.4,0.0,0.7
2013,91.6906571786727,14461,1.9,0.9,12.9,1.8,0.6,2.0
2010,99.6462877619185,14831,0.9,0.8,15.1,0.7,0.3,1.0
2007,113.862897728431,15798,2.8,1.6,20.6,1.8,0.6,3.0
2000,189.326072508351,21849,2.1,2.1,23.1,0.7,0.1,2.2
2007,20.1711619098214,2845,3.4,10.9,10.5,4.452510505730625,2.7740824292717665,2.9
1995,33.1035267972154,3815,1.4,5.2,8.1,1.9,0.6,1.5
2021,66.2896510647894,58092,1.3,0.4,12.7,0.3,0.0,1.5
2018,65.8351674066316,55282,0.9,0.3,14.5,0.2,0.1,1.0
2012,67.7508070307426,52567,0.8,0.2,19.5,0.2,0.0,0.9
2004,88.0125507166637,59568,5.7,2.8,28.9,1.8,0.2,5.6
1997,120.284084163283,73547,2.7,0.9,28.0,0.5,0.1,2.4
2019,45.4004918879967,28168,0.1,0.4,11.1,0.2,0.1,0.2
2018,47.6170433102562,29147,0.0,0.4,11.5,0.0,0.0,0.1
2017,50.4041125426508,30517,0.1,0.0,10.7,0.1,0.0,0.2
